title,short
Agriculture and Natural Resources,ag
People, Ethnicity, and Culture,people
Arts, Humanities, and Social Sciences,artshum
Politics, Government, and Law icon,politics
Business, Industry, Labor, and Commerce,biz
Science, Technology and Health,sci
Education,ed
Social Life and Customs,social
Environment and Conservation,envi
Immigration and American Expansion,immigration
