title,short
Architectural Drawings,archdrawings
Artifacts,artifacts
Diaries,diaries
Electronic Records,records
Maps,maps
Oral Histories,oralhist
Photographs,photos
Scrapbooks,scrapbooks
Sound Recordings,sound
Textiles,textiles
Newspapers,newspapers
Posters,posters
Video/Film/Moving Images,movies
