objectid,title,org,shortorg,format,collectionid,filename,external_filename,featured_image,description,startdate,enddate,date-range,ctrl_subcat,ctrl_subject,subject_terms,subject_free,region,county,location,material_type,latitude,longitude,cdm-collection,cdm-collection-id,language,rights,rightsstatement,download,img_small,img_thumb
argonaut-photograph-collection,Argonaut Photograph Collection,University of Idaho,UI,image/jpeg,https://www.lib.uidaho.edu/digital/argonautphotos/,/objects/argonaut-photograph-collection.jpg,https://www.lib.uidaho.edu/media/digital/small/argonautphotos.jpg,https://www.lib.uidaho.edu/media/digital/small/argonautphotos.jpg,"Over 700 photographs from the University of Idaho newspaper, The Argonaut.",1980,1988,1980-1988,Education,Colleges and Universities; Student Life; City and Town Life; Clubs and Societies; Fashion; Media and Communication; Sports and Recreation;,Colleges and Universities; Student Life; City and Town Life; Clubs and Societies; Fashion; Media and Communication; Sports and Recreation,,Southwest region,Latah County,"Moscow, ID;",Photographs,46.728347,-117.007264,cdm17254,p17254coll3,eng,,,https://www.lib.uidaho.edu/digital/argonautphotos/,/objects/small/argonaut-photograph-collection_sm.jpg,/objects/thumbs/argonaut-photograph-collection_th.jpg
banner-mining-and-milling-company,Banner Mining and Milling Company,Boise State University,BSU,image/jpeg,https://digital.boisestate.edu/,/objects/banner-mining-and-milling-company.jpg,https://cdm15948.contentdm.oclc.org/digital/iiif/p15948coll13/91/full/max/0/default.jpg,91,"Letters and other documents received by Henry K. Doll, of Scranton, Pennsylvania, from officers of the Banner Mining and Milling Company relating to his investment in and operations of the Banner Mine in Silver City, Idaho.",,,,"Business, Industry, Labor, and Commerce",Mines and Mineral Resources; Businesses and Corporations;,Mines and Mineral Resources; Businesses and Corporations,,Southwest region,Owyhee County,Silver City,Documents,,,cdm15948,p15948coll13,eng,,,https://digital.boisestate.edu/,/objects/small/banner-mining-and-milling-company_sm.jpg,/objects/thumbs/banner-mining-and-milling-company_th.jpg
bannock-county-images,Bannock County Images,Idaho Commission for Libraries,ICFL,image/jpeg,https://idahodocs.contentdm.oclc.org/digital/collection/p2003coll1,/objects/bannock-county-images.jpg,https://idahodocs.contentdm.oclc.org/digital/iiif/p2003coll1/43/full/max/0/default.jpg,43,"Bannock County Images is a digital repository through which researchers, students, scholars, genealogists, historic interpreters, authors, and members of the general public can access information pertaining to Bannock County, Idaho.",1885,1970,1885-1970,"People, Ethnicity, and Culture",City and Town Life;,City and Town Life,,Southeast region,Bannock County,"Pocatello, ID",Photographs,,,idahodocs,p2003coll1,eng,,,https://idahodocs.contentdm.oclc.org/digital/collection/p2003coll1,/objects/small/bannock-county-images_sm.jpg,/objects/thumbs/bannock-county-images_th.jpg
barnard-stockbridge-photograph-collection,Barnard-Stockbridge Photograph Collection,University of Idaho,UI,image/jpeg,https://www.lib.uidaho.edu/digital/barstock/,/objects/barnard-stockbridge-photograph-collection.jpg,https://www.lib.uidaho.edu/media/digital/small/barstock.jpg,https://www.lib.uidaho.edu/media/digital/small/barstock.jpg,"The Barnard-Stockbridge Collection exhibits over 1000 photographs, selected from over 200,000 nitrocellulose and glass plate negatives, taken by Nellie Stockbridge and T. N. Barnard during the years 1894-1964. The photos depict various aspects of life in the Wallace/Kellogg mining area.",1886,1964,1886-1964,Agriculture and Natural Resources,Logging; Mines and Mineral Resources; Businesses and Corporations; Forestry and Forestry Products; Labor History; Labor Unions; Railroads; Land Use;,Logging; Mines and Mineral Resources; Businesses and Corporations; Forestry and Forestry Products; Labor History; Labor Unions; Railroads; Land Use,,Panhandle region; Clearwater region,Benewah County; Kootenai County; Latah County,"Wallace, ID; Kellogg, ID; Burke, ID; Mullan, ID; Wardner, ID; Cataldo, ID; Silver Valley area in Idaho; Coeur'Alene, ID; Lolo Pass, MT;",Photographs,47.474095,-115.927939,cdm17254,bar-stock,eng,,,https://www.lib.uidaho.edu/digital/barstock/,/objects/small/barnard-stockbridge-photograph-collection_sm.jpg,/objects/thumbs/barnard-stockbridge-photograph-collection_th.jpg
basque-arborglyph-database,Basque Arborglyph Database,Boise State University,BSU,image/jpeg,https://digital.boisestate.edu/,/objects/basque-arborglyph-database.jpg,https://digital.boisestate.edu/digital/api/singleitem/image/pdf/p15948coll9/23/default.png,12,"Basque sheepherders created these tree carvings, called arborglyphs, while working in remote areas throughout Idaho during the twentieth century.",,,,Immigration and American Expansion,Ranching; Basque Americans; Labor History;sheepherding,Ranching; Basque Americans; Labor History,sheepherding,Southwest region; Salmon region,,,Photographs,,,cdm15948,p15948coll9,eng,,,https://digital.boisestate.edu/,/objects/small/basque-arborglyph-database_sm.jpg,/objects/thumbs/basque-arborglyph-database_th.jpg
bjc-newspaper-clippings,BJC Newspaper clippings,Boise State University,BSU,image/jpeg,https://digital.boisestate.edu/,/objects/bjc-newspaper-clippings.jpg,https://cdm15948.contentdm.oclc.org/digital/iiif/bjcnews/189/full/max/0/default.jpg,189,"A collection of newspaper clippings about about Boise Junior College, 1932-1953.",1932,1953,1932-1953,Education,Colleges and Universities; Student Life; Sports and Recreation;Boise Junior College,Colleges and Universities; Student Life; Sports and Recreation,Boise Junior College,Southwest region,Ada County,,Scrapbooks; Newspapers,,,cdm15948,bjcnews,eng,,,https://digital.boisestate.edu/,/objects/small/bjc-newspaper-clippings_sm.jpg,/objects/thumbs/bjc-newspaper-clippings_th.jpg
blanche-kunz-collection-on-william-e-borah,Blanche Kunz Collection on William E. Borah,Boise State University,BSU,image/jpeg,https://digital.boisestate.edu/,/objects/blanche-kunz-collection-on-william-e-borah.jpg,https://cdm15948.contentdm.oclc.org/digital/iiif/p15948coll26/40/full/max/0/default.jpg,40,"This collection consists of a scrapbook and a magazine collected by Blanche Kunz, of Arbon, Idaho. The scrapbook contains newspaper clippings on the final illness, death, and funeral of U.S. Senator William E. Borah in 1940 as well as a few later clippings relating to Borah. Additionally it features a 1940 letter to Kunz from Senator Kenneth S. Mackenzie of Idaho Falls about the poem he wrote entitled “The Bier of Senator Borah.”",,,,"People, Ethnicity, and Culture",Politics and Politicians;,Politics and Politicians,,Southwest region,Ada County,,Scrapbooks; Newspapers,,,cdm15948,p15948coll26,eng,,,https://digital.boisestate.edu/,/objects/small/blanche-kunz-collection-on-william-e-borah_sm.jpg,/objects/thumbs/blanche-kunz-collection-on-william-e-borah_th.jpg
bob-lorimer-photographs,Bob Lorimer Photographs,Idaho State Archives/Idaho State Historical Society,ISHS,image/jpeg,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll10,/objects/bob-lorimer-photographs.jpg,https://cdm16281.contentdm.oclc.org/digital/iiif/p265501coll10/0/full/max/0/default.jpg,0,"Bob Lorimer (1918-1975) was a writer, columnist and photographer for several Boise Valley newspapers including the Idaho Statesman, 1964-1975. The collection consists of approximately 1,500 black and white negatives, including 35 mm and 2 1/2 x 2 inch up to 4 x 5 inch. The collection number is P2006.18",1964,1975,1964-1975,Social Life and Customs,Children and Youth; Women; Journalism; Performing Arts; Laws and Legislation; Political Campaigns; Politics and Politicians; Advertising and Marketing; Fishing and Canning; City and Town Life; Fashion; Media and Communication; Sports and Recreation;,Children and Youth; Women; Journalism; Performing Arts; Laws and Legislation; Political Campaigns; Politics and Politicians; Advertising and Marketing; Fishing and Canning; City and Town Life; Fashion; Media and Communication; Sports and Recreation,,Southwest region,Ada County; Boise County; Gem County; Valley County; Washington County,"Boise, ID;",Photographs,43.62141671,-116.2067772,cdm16281,p265501coll10,eng,,,https://idahohistory.contentdm.oclc.org/digital/collection/p265501coll10,/objects/small/bob-lorimer-photographs_sm.jpg,/objects/thumbs/bob-lorimer-photographs_th.jpg
boise-development-collection,Boise Development Collection,Boise State University,BSU,image/jpeg,https://digital.boisestate.edu/,/objects/boise-development-collection.jpg,https://cdm15948.contentdm.oclc.org/digital/iiif/p15948coll4/358/full/max/0/default.jpg,358,"Reports, brochures, advertisements and other resources that promote, or plan for, growth in the city of Boise, Idaho. These documents mostly originated from public departments within the city of Boise, but some were authored by local and national consultants.",,,,"Business, Industry, Labor, and Commerce",City Planning; Public Utilities; Public Works;,City Planning; Public Utilities; Public Works,,Southwest region,Ada County,,Architectural Drawings; Documents; Maps; Photographs,,,cdm15948,p15948coll4,eng,,,https://digital.boisestate.edu/,/objects/small/boise-development-collection_sm.jpg,/objects/thumbs/boise-development-collection_th.jpg
boise-public-library-ethnic-history-archive,Boise Public Library Ethnic History Archive,Idaho Commission for Libraries,ICFL,image/jpeg,https://idahodocs.contentdm.oclc.org/digital/collection/p4012coll2/search,/objects/boise-public-library-ethnic-history-archive.jpg,https://idahodocs.contentdm.oclc.org/digital/api/singleitem/image/p4012coll2/47/default.jpg,205,Over 200 clippings from the Idaho Statesman spanning over 50 years.,,,,"People, Ethnicity, and Culture",Basque Americans; Chinese Americans; Japanese Americans; Latinos and Latinas; Mexican Americans;,Basque Americans; Chinese Americans; Japanese Americans; Latinos and Latinas; Mexican Americans,,,,,Newspapers,,,idahodocs,p4012coll2/search,eng,,,https://idahodocs.contentdm.oclc.org/digital/collection/p4012coll2/search,/objects/small/boise-public-library-ethnic-history-archive_sm.jpg,/objects/thumbs/boise-public-library-ethnic-history-archive_th.jpg
boise-territorial-images-1863-1890,Boise Territorial Images 1863-1890,Idaho State Archives/Idaho State Historical Society,ISHS,image/jpeg,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll11,/objects/boise-territorial-images-1863-1890.jpg,https://cdm16281.contentdm.oclc.org/digital/iiif/p16281coll11/0/full/max/0/default.jpg,0,"Images of Boise, Idaho from 1863-1890",1863,1890,1863-1890,Social Life and Customs,Architecture; City Planning; City and Town Life;,Architecture; City Planning; City and Town Life,,Southwest region,Ada County,"Boise, ID",Photographs,43.59326099,-116.2036954,cdm16281,p16281coll11,eng,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll11,/objects/small/boise-territorial-images-1863-1890_sm.jpg,/objects/thumbs/boise-territorial-images-1863-1890_th.jpg
bovill-historical-photograph-collection,Bovill Historical Photograph Collection,University of Idaho,UI,image/jpeg,https://www.lib.uidaho.edu/digital/lchsphotos/,/objects/bovill-historical-photograph-collection.jpg,https://www.lib.uidaho.edu/media/digital/small/lchsphotos.jpg,https://www.lib.uidaho.edu/media/digital/small/lchsphotos.jpg,"Photographs of Bovill, Idaho, from the collection of the Latah County Historical Society.",1904,2000,1904-2000,"People, Ethnicity, and Culture",Children and Youth; Women; City and Town Life; Home and Family; Parks and Playgrounds;,Children and Youth; Women; City and Town Life; Home and Family; Parks and Playgrounds,,Clearwater region,Latah County,"Bovill, ID",Photographs,46.732824,-116.99744,cdm17254,lchsphotos,eng,,,https://www.lib.uidaho.edu/digital/lchsphotos/,/objects/small/bovill-historical-photograph-collection_sm.jpg,/objects/thumbs/bovill-historical-photograph-collection_th.jpg
browsing-photographs-collection,Browsing Photographs Collection,Idaho State Archives/Idaho State Historical Society,ISHS,image/jpeg,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12,/objects/browsing-photographs-collection.jpg,https://cdm16281.contentdm.oclc.org/digital/iiif/p16281coll12/0/full/max/0/default.jpg,0,"The Browsing Photographs Collection is comprised of a vast array of subjects and locations from across Idaho. Biographies, general subjects, Native American groups, Idaho towns and Boise subjects come together to collectively form the Browsing Collection. This collection will be updated often, with the potential for thousands of images to be made available online.",,,,Social Life and Customs,City and Town Life;,City and Town Life,,Southwest region,Ada County,"Boise, ID;",Photographs,43.74353004,-116.2212466,cdm16281,p16281coll12,eng,,,https://idahohistory.contentdm.oclc.org/digital/collection/p16281coll12,/objects/small/browsing-photographs-collection_sm.jpg,/objects/thumbs/browsing-photographs-collection_th.jpg
